bps_kode_provinsi,bps_nama_provinsi,tahun,indeks_pembangunan_manusia,satuan
61,Kalimantan Barat,2016,65.88,Point
62,Kalimantan Tengah,2016,69.13,Point
63,Kalimantan Selatan,2016,69.05,Point
64,Kalimantan Timur,2016,74.59,Point
65,Kalimantan Utara,2016,69.2,Point
71,Sulawesi Utara,2016,71.05,Point
72,Sulawesi Tengah,2016,67.47,Point
73,Sulawesi Selatan,2016,69.76,Point
74,Sulawesi Tenggara,2016,69.31,Point
75,Gorontalo,2016,66.29,Point
76,Sulawesi Barat,2016,63.6,Point
81,Maluku,2016,67.6,Point
82,Maluku Utara,2016,66.63,Point
91,Papua Barat,2016,62.21,Point
92,Papua Barat Daya,2016,0.0,Point
94,Papua,2016,58.05,Point
93,Papua Selatan,2016,0.0,Point
94,Papua Tengah,2016,0.0,Point
95,Papua Pegunungan,2016,0.0,Point
11,Aceh,2017,70.6,Point
12,Sumatra Utara,2017,70.57,Point
13,Sumatra Barat,2017,71.24,Point
14,Riau,2017,71.79,Point
15,Jambi,2017,69.99,Point
16,Sumatra Selatan,2017,68.86,Point
17,Bengkulu,2017,69.95,Point
18,Lampung,2017,68.25,Point
19,Kepulauan Bangka Belitung,2017,69.99,Point
21,Kepulauan Riau,2017,74.45,Point
31,DKI Jakarta,2017,80.06,Point
32,Jawa Barat,2017,70.69,Point
33,Jawa Tengah,2017,70.52,Point
34,DI Yogyakarta,2017,78.89,Point
35,Jawa Timur,2017,70.27,Point
36,Banten,2017,71.42,Point
51,Bali,2017,74.3,Point
52,Nusa Tenggara Barat,2017,66.58,Point
53,Nusa Tenggara Timur,2017,63.73,Point
61,Kalimantan Barat,2017,66.26,Point
62,Kalimantan Tengah,2017,69.79,Point
63,Kalimantan Selatan,2017,69.65,Point
64,Kalimantan Timur,2017,75.12,Point
65,Kalimantan Utara,2017,69.84,Point
71,Sulawesi Utara,2017,71.66,Point
72,Sulawesi Tengah,2017,68.11,Point
73,Sulawesi Selatan,2017,70.34,Point
74,Sulawesi Tenggara,2017,69.86,Point
75,Gorontalo,2017,67.01,Point
76,Sulawesi Barat,2017,64.3,Point
81,Maluku,2017,68.19,Point
82,Maluku Utara,2017,67.2,Point
91,Papua Barat,2017,62.99,Point
92,Papua Barat Daya,2017,0.0,Point
94,Papua,2017,59.09,Point
93,Papua Selatan,2017,0.0,Point
94,Papua Tengah,2017,0.0,Point
95,Papua Pegunungan,2017,0.0,Point
11,Aceh,2018,71.19,Point
12,Sumatra Utara,2018,71.18,Point
13,Sumatra Barat,2018,71.73,Point
14,Riau,2018,72.44,Point
15,Jambi,2018,70.65,Point
