Kategori,Jumlah_Data,Rata_Rata_IPK,Rata_Rata_Kehadiran,Rata_Rata_Nilai_Akhir,Rata_Rata_Jam_Belajar,Rata_Rata_Terlambat
Prestasi Akademik Relatif Tinggi,37,3.538918918918919,91.57378378378378,85.36297297297297,16.073783783783785,1.864864864864865
Prestasi Akademik Relatif Sedang,45,2.7982222222222224,75.70244444444445,71.23977777777777,7.9095555555555555,5.155555555555556
Prestasi Akademik Relatif Rendah,18,2.0372222222222223,61.06666666666667,55.05277777777778,5.592777777777778,8.777777777777779
